"inventory_id","film_id","title","total_rentals_duration_in_hours","percentual_occupation_ratio"
1642,358,"Gilmore Boiled","719","29.92"
2322,504,"Kwai Homeward","719","29.92"
1675,366,"Goldfinger Sensibility","718","29.88"
2557,560,"Mars Roman","718","29.88"
3489,764,"Saturday Lambs","718","29.88"
2908,638,"Operation Operation","718","29.88"
261,58,"Beach Heartbreakers","717","29.84"
158,34,"Arabia Dogma","717","29.84"
4389,958,"Wardrobe Phantom","717","29.84"
1097,244,"Dorado Notting","717","29.84"
3213,706,"Queen Luke","717","29.84"
1337,295,"Expendable Stallion","717","29.84"
3733,816,"Snowman Rollercoaster","717","29.84"
2,1,"Academy Dinosaur","716","29.80"
1670,365,"Gold River","716","29.80"
4243,922,"Undefeated Dalmations","716","29.80"
3090,679,"Pilot Hoosiers","715","29.75"
944,209,"Darkness War","715","29.75"
3225,708,"Quills Bull","714","29.71"
3627,791,"Show Lord","714","29.71"
3687,806,"Sleepy Japanese","714","29.71"
1621,354,"Ghost Groundhog","713","29.67"
691,151,"Cincinatti Whisperer","713","29.67"
4279,931,"Valentine Vanishing","713","29.67"
1626,355,"Ghostbusters Elf","713","29.67"
4401,962,"Wasteland Divine","712","29.63"
3878,848,"Stone Fire","712","29.63"
1264,280,"Empire Malkovich","712","29.63"
1708,373,"Graduate Lord","711","29.59"
1434,314,"Fight Jawbreaker","711","29.59"
565,122,"Carrie Bunch","711","29.59"
1242,274,"Egg Igby","711","29.59"
2628,576,"Mighty Luck","710","29.55"
372,82,"Blood Argonauts","710","29.55"
3328,732,"Rings Heartbreakers","710","29.55"
1814,394,"Hamlet Wisdom","710","29.55"
1691,369,"Goodfellas Salute","710","29.55"
800,174,"Confidential Interview","709","29.50"
2249,486,"Jet Neighbors","709","29.50"
2272,491,"Jumping Wrath","708","29.46"
3053,670,"Pelican Comforts","708","29.46"
2465,539,"Luck Opus","707","29.42"
1259,279,"Elizabeth Shane","707","29.42"
1101,244,"Dorado Notting","707","29.42"
1938,421,"Holiday Games","707","29.42"
4089,891,"Timberland Sky","707","29.42"
1721,375,"Grail Frankenstein","706","29.38"
3435,753,"Rush Goodfellas","706","29.38"
4425,967,"Weekend Personal","706","29.38"
1586,348,"Gandhi Kwai","706","29.38"
2267,489,"Juggler Hardly","705","29.34"
4155,902,"Trading Pinocchio","705","29.34"
2486,545,"Madness Attacks","705","29.34"
1783,387,"Gun Bonnie","705","29.34"
3319,730,"Ridgemont Submarine","704","29.30"
661,143,"Chill Luck","703","29.26"
1993,434,"Horror Reign","703","29.26"
4554,994,"Wyoming Storm","703","29.26"
4238,921,"Uncut Suicides","703","29.26"
1277,282,"Encounters Curtain","703","29.26"
1392,305,"Fatal Haunted","703","29.26"
1765,383,"Groove Fiction","702","29.21"
3448,756,"Saddle Antitrust","702","29.21"
4254,925,"United Pilot","702","29.21"
3128,687,"Pocus Pulp","702","29.21"
4233,920,"Unbreakable Karate","702","29.21"
186,42,"Artist Coldblooded","702","29.21"
4535,989,"Working Microcosmos","702","29.21"
3374,740,"Rollercoaster Bringing","701","29.17"
2533,556,"Maltese Hope","701","29.17"
1484,324,"Flintstones Happiness","701","29.17"
1983,432,"Hope Tootsie","701","29.17"
2878,631,"Novocaine Flight","701","29.17"
3009,660,"Party Knock","700","29.13"
3677,804,"Sleeping Suspects","700","29.13"
2610,572,"Metropolis Coma","699","29.09"
3827,838,"Stagecoach Armageddon","699","29.09"
1402,307,"Fellowship Autumn","698","29.05"
2463,538,"Loverboy Attacks","698","29.05"
3329,732,"Rings Heartbreakers","697","29.01"
3242,711,"Raging Airplane","697","29.01"
1086,242,"Doom Dancing","697","29.01"
1431,313,"Fidelity Devil","697","29.01"
3909,853,"Stranger Strangers","697","29.01"
4449,972,"Whisperer Giant","696","28.96"
2765,608,"Murder Antitrust","696","28.96"
1696,369,"Goodfellas Salute","696","28.96"
4171,907,"Translation Summer","695","28.92"
79,16,"Alley Evolution","695","28.92"
4451,973,"Wife Turn","695","28.92"
2665,585,"Mob Duffel","694","28.88"
901,200,"Curtain Videotape","693","28.84"
3155,693,"Potter Connecticut","693","28.84"
4213,916,"Turn Star","693","28.84"
4413,964,"Waterfront Deliverance","692","28.80"
2835,621,"Network Peak","692","28.80"
3018,663,"Patient Sister","692","28.80"
2735,600,"Motions Details","692","28.80"
2484,545,"Madness Attacks","692","28.80"
2638,579,"Minds Truman","692","28.80"
208,46,"Autumn Crow","691","28.76"
4134,898,"Tourist Pelican","691","28.76"
3380,741,"Roman Punk","691","28.76"
1084,242,"Doom Dancing","691","28.76"
2718,596,"Moonshine Cabin","691","28.76"
889,199,"Cupboard Sinners","691","28.76"
2086,452,"Illusion Amelie","691","28.76"
1920,417,"Hills Neighbors","690","28.71"
33,7,"Airplane Sierra","690","28.71"
4479,979,"Witches Panic","689","28.67"
4365,951,"Voyage Legally","689","28.67"
4444,971,"Whale Bikini","689","28.67"
3105,682,"Pittsburgh Hunchback","688","28.63"
4568,998,"Zhivago Core","688","28.63"
3421,749,"Rules Human","688","28.63"
2395,523,"Lights Deer","687","28.59"
4090,891,"Timberland Sky","687","28.59"
403,89,"Borrowers Bedazzled","686","28.55"
2514,552,"Majestic Floats","685","28.51"
3024,664,"Patriot Roman","685","28.51"
1303,287,"Entrapment Satisfaction","684","28.46"
2760,606,"Mummy Creatures","683","28.42"
1398,306,"Feathers Metal","683","28.42"
2451,535,"Love Suicides","682","28.38"
2513,552,"Majestic Floats","682","28.38"
3757,822,"Soup Wisdom","682","28.38"
4210,915,"Truman Crazy","682","28.38"
1781,387,"Gun Bonnie","682","28.38"
94,19,"Amadeus Holy","681","28.34"
3122,686,"Pluto Oleander","681","28.34"
4445,972,"Whisperer Giant","681","28.34"
163,35,"Arachnophobia Rollercoaster","680","28.30"
1755,381,"Grinch Massage","679","28.26"
3094,680,"Pinocchio Simon","679","28.26"
2873,630,"Notting Speakeasy","679","28.26"
2985,654,"Panky Submarine","679","28.26"
1476,323,"Flight Lies","679","28.26"
1254,277,"Elephant Trojan","679","28.26"
487,109,"Butterfly Chocolat","678","28.21"
2629,576,"Mighty Luck","678","28.21"
2108,457,"Independence Hotel","678","28.21"
3564,778,"Secrets Paradise","677","28.17"
2887,634,"Odds Boogie","677","28.17"
139,28,"Anthem Luke","677","28.17"
3954,862,"Summer Scarface","677","28.17"
245,55,"Barbarella Streetcar","676","28.13"
352,78,"Blackout Private","676","28.13"
3132,688,"Polish Brooklyn","676","28.13"
1393,305,"Fatal Haunted","676","28.13"
3183,698,"Princess Giant","675","28.09"
2452,535,"Love Suicides","675","28.09"
3309,728,"Reunion Witches","675","28.09"
2193,474,"Jade Bunch","674","28.05"
1925,418,"Hobbit Alien","674","28.05"
351,78,"Blackout Private","674","28.05"
674,147,"Chocolat Harry","673","28.01"
4142,900,"Town Ark","673","28.01"
2388,521,"Lies Treatment","673","28.01"
228,51,"Balloon Homeward","673","28.01"
2938,645,"Others Soup","672","27.97"
2271,491,"Jumping Wrath","672","27.97"
2406,525,"Loathing Legally","671","27.92"
1021,228,"Detective Vision","671","27.92"
3468,760,"Samurai Lion","671","27.92"
458,101,"Brotherhood Blanket","671","27.92"
4536,990,"World Leathernecks","671","27.92"
2740,601,"Moulin Wake","671","27.92"
3261,717,"Rear Trading","670","27.88"
2424,529,"Lonely Elephant","670","27.88"
2736,600,"Motions Details","670","27.88"
4250,924,"Unforgiven Zoolander","670","27.88"
2038,443,"Hurricane Affair","670","27.88"
2263,489,"Juggler Hardly","669","27.84"
654,142,"Chicken Hellfighters","669","27.84"
66,12,"Alaska Phantom","669","27.84"
1349,298,"Eyes Driving","669","27.84"
4067,887,"Thief Pelican","669","27.84"
2781,610,"Music Boondock","669","27.84"
4261,927,"Uprising Uptown","668","27.80"
3613,789,"Shock Cabin","668","27.80"
1071,239,"Dogma Family","668","27.80"
4346,947,"Vision Torque","668","27.80"
1884,410,"Heaven Freedom","668","27.80"
1554,341,"Frost Head","668","27.80"
4433,969,"West Lion","668","27.80"
1588,348,"Gandhi Kwai","668","27.80"
1008,226,"Destiny Saturday","668","27.80"
1769,383,"Groove Fiction","667","27.76"
3050,670,"Pelican Comforts","667","27.76"
3725,814,"Snatch Slipper","667","27.76"
3106,682,"Pittsburgh Hunchback","667","27.76"
3543,775,"Seattle Expecations","667","27.76"
2895,636,"Oleander Clue","667","27.76"
1290,285,"English Bulworth","667","27.76"
2211,478,"Jaws Harry","667","27.76"
3917,855,"Streak Ridgemont","667","27.76"
769,167,"Coma Head","666","27.72"
503,112,"Calendar Gunfight","666","27.72"
2841,623,"Newton Labyrinth","666","27.72"
1122,249,"Dracula Crystal","666","27.72"
3731,816,"Snowman Rollercoaster","666","27.72"
807,175,"Confused Candles","666","27.72"
2676,587,"Mod Secretary","665","27.67"
4443,971,"Whale Bikini","665","27.67"
265,59,"Bear Graceland","665","27.67"
2962,649,"Oz Liaisons","665","27.67"
3828,838,"Stagecoach Armageddon","664","27.63"
142,29,"Antitrust Tomatoes","664","27.63"
3938,858,"Submarine Bed","663","27.59"
3271,720,"Redemption Comforts","663","27.59"
339,75,"Bird Independence","663","27.59"
350,77,"Birds Perdition","663","27.59"
4377,956,"Wanda Chamber","663","27.59"
4369,953,"Wait Cider","662","27.55"
1899,414,"Hellfighters Sierra","662","27.55"
3369,739,"Rocky War","662","27.55"
1689,368,"Gone Trouble","662","27.55"
651,141,"Chicago North","662","27.55"
1298,286,"Enough Raging","662","27.55"
2153,465,"Interview Liaisons","661","27.51"
667,145,"Chisum Behavior","661","27.51"
1223,271,"Easy Gladiator","660","27.47"
3140,690,"Pond Seattle","660","27.47"
2859,626,"Noon Papi","659","27.42"
2368,516,"Legend Jedi","659","27.42"
86,17,"Alone Trip","659","27.42"
2094,454,"Impact Aladdin","659","27.42"
1521,331,"Forward Temple","658","27.38"
3719,813,"Smoochy Control","658","27.38"
4372,953,"Wait Cider","658","27.38"
1639,358,"Gilmore Boiled","658","27.38"
1681,367,"Goldmine Tycoon","658","27.38"
3343,735,"Robbers Joon","657","27.34"
1492,327,"Fool Mockingbird","657","27.34"
1067,238,"Doctor Grail","657","27.34"
2974,651,"Packer Madigan","657","27.34"
1428,313,"Fidelity Devil","656","27.30"
1886,411,"Heavenly Gun","656","27.30"
3000,658,"Paris Weekend","656","27.30"
1330,294,"Expecations Natural","656","27.30"
4136,898,"Tourist Pelican","656","27.30"
4560,995,"Yentl Idaho","655","27.26"
2591,569,"Menagerie Rushmore","655","27.26"
2393,522,"Life Twisted","655","27.26"
2097,455,"Impossible Prejudice","655","27.26"
2314,502,"Knock Warlock","655","27.26"
1885,410,"Heaven Freedom","655","27.26"
1943,423,"Hollywood Anonymous","654","27.22"
178,39,"Armageddon Lost","654","27.22"
1763,382,"Grit Clockwork","654","27.22"
755,165,"Coldblooded Darling","654","27.22"
4209,915,"Truman Crazy","654","27.22"
2812,617,"Natural Stock","653","27.17"
2031,442,"Hunting Musketeers","653","27.17"
749,164,"Coast Rainbow","653","27.17"
1111,246,"Doubtfire Labyrinth","653","27.17"
858,189,"Creatures Shakespeare","653","27.17"
955,213,"Date Speed","653","27.17"
3325,731,"Right Cranes","652","27.13"
1162,257,"Drumline Cyclone","652","27.13"
2310,502,"Knock Warlock","652","27.13"
802,174,"Confidential Interview","652","27.13"
3321,730,"Ridgemont Submarine","652","27.13"
3537,773,"Seabiscuit Punk","652","27.13"
1090,243,"Doors President","651","27.09"
553,120,"Caribbean Liberty","651","27.09"
833,182,"Control Anthem","651","27.09"
373,82,"Blood Argonauts","650","27.05"
3083,677,"Pianist Outfield","650","27.05"
4507,984,"Wonderful Drop","650","27.05"
515,114,"Camelot Vacation","650","27.05"
4506,984,"Wonderful Drop","650","27.05"
3279,723,"Reign Gentlemen","650","27.05"
2562,561,"Mask Peach","649","27.01"
1930,418,"Hobbit Alien","649","27.01"
829,181,"Contact Anonymous","649","27.01"
176,39,"Armageddon Lost","649","27.01"
2442,533,"Lost Bird","649","27.01"
4044,880,"Telemark Heartbreakers","649","27.01"
2868,628,"Northwest Polish","649","27.01"
1388,304,"Fargo Gandhi","648","26.97"
3419,749,"Rules Human","648","26.97"
461,101,"Brotherhood Blanket","648","26.97"
1224,271,"Easy Gladiator","648","26.97"
610,132,"Chainsaw Uptown","648","26.97"
1219,270,"Earth Vision","648","26.97"
1179,263,"Durham Panky","647","26.92"
1701,370,"Gorgeous Bingo","647","26.92"
1853,403,"Harry Idaho","647","26.92"
3771,825,"Speakeasy Date","647","26.92"
3406,747,"Roxanne Rebel","647","26.92"
58,11,"Alamo Videotape","647","26.92"
1951,425,"Holy Tadpole","647","26.92"
3203,704,"Pure Runner","647","26.92"
1591,349,"Gangs Pride","647","26.92"
3888,849,"Storm Happiness","647","26.92"
379,84,"Boiled Dares","646","26.88"
1527,334,"Freddy Storm","646","26.88"
1183,263,"Durham Panky","646","26.88"
1513,330,"Forrester Comancheros","646","26.88"
4080,890,"Tights Dawn","646","26.88"
4232,920,"Unbreakable Karate","645","26.84"
980,218,"Deceiver Betrayed","645","26.84"
3032,665,"Patton Interview","645","26.84"
3926,856,"Streetcar Intentions","644","26.80"
3363,738,"Rocketeer Mother","644","26.80"
2052,445,"Hyde Doctor","644","26.80"
2570,563,"Massacre Usual","644","26.80"
4577,1000,"Zorro Ark","644","26.80"
1473,322,"Flatliners Killer","644","26.80"
3970,865,"Sunrise League","644","26.80"
367,80,"Blanket Beverly","644","26.80"
1342,295,"Expendable Stallion","643","26.76"
2964,650,"Pacific Amistad","643","26.76"
1025,229,"Devil Desire","642","26.72"
1929,418,"Hobbit Alien","642","26.72"
1649,360,"Glass Dying","641","26.67"
1833,398,"Hanover Galaxy","641","26.67"
1287,284,"Enemy Odds","641","26.67"
2176,470,"Ishtar Rocketeer","641","26.67"
435,96,"Breaking Home","641","26.67"
533,117,"Candles Grapes","641","26.67"
848,186,"Craft Outfield","640","26.63"
2756,604,"Mulan Moon","640","26.63"
2632,577,"Mile Mulan","639","26.59"
3454,757,"Sagebrush Clueless","638","26.55"
3249,715,"Range Moonwalker","638","26.55"
2364,514,"Lebowski Soldiers","638","26.55"
4068,887,"Thief Pelican","638","26.55"
1822,396,"Hanging Deep","638","26.55"
3034,665,"Patton Interview","638","26.55"
1498,328,"Forever Candidate","638","26.55"
3005,659,"Park Citizen","637","26.51"
2894,636,"Oleander Clue","637","26.51"
428,95,"Breakfast Goldfinger","636","26.47"
2232,483,"Jericho Mulan","636","26.47"
227,51,"Balloon Homeward","635","26.43"
982,219,"Deep Crusade","635","26.43"
1911,416,"Highball Potter","635","26.43"
2203,476,"Jason Trap","635","26.43"
2157,466,"Intolerable Intentions","634","26.38"
3496,766,"Savannah Town","634","26.38"
1868,408,"Head Stranger","634","26.38"
1954,426,"Home Pity","634","26.38"
992,220,"Deer Virginian","634","26.38"
3494,765,"Saturn Name","634","26.38"
2993,656,"Papi Necklace","634","26.38"
4251,924,"Unforgiven Zoolander","633","26.34"
1281,284,"Enemy Odds","633","26.34"
4117,895,"Tomorrow Hustler","633","26.34"
87,18,"Alter Victory","633","26.34"
40,8,"Airport Pollock","633","26.34"
1347,297,"Extraordinary Conquerer","633","26.34"
3961,863,"Sun Confessions","632","26.30"
842,184,"Core Suit","632","26.30"
2559,561,"Mask Peach","632","26.30"
1399,306,"Feathers Metal","632","26.30"
3198,702,"Pulp Beverly","632","26.30"
3552,776,"Secret Groundhog","632","26.30"
1019,228,"Detective Vision","632","26.30"
4036,879,"Telegraph Voyage","631","26.26"
2590,568,"Memento Zoolander","631","26.26"
4297,936,"Vanishing Rocky","631","26.26"
2412,526,"Lock Rear","631","26.26"
4407,963,"Watch Tracy","631","26.26"
27,6,"Agent Truman","631","26.26"
2599,571,"Metal Armageddon","631","26.26"
1245,275,"Egypt Tenenbaums","631","26.26"
4000,871,"Sweden Shining","631","26.26"
3871,846,"Sting Personal","630","26.22"
1565,344,"Fury Murder","630","26.22"
1995,434,"Horror Reign","630","26.22"
2290,496,"Kick Savannah","630","26.22"
1278,283,"Ending Crowds","629","26.18"
1863,406,"Haunting Pianist","629","26.18"
646,140,"Cheaper Clyde","629","26.18"
2860,626,"Noon Papi","629","26.18"
2826,620,"Nemo Campus","629","26.18"
4418,966,"Wedding Apollo","629","26.18"
2872,629,"Notorious Reunion","629","26.18"
4204,914,"Trouble Date","629","26.18"
3259,717,"Rear Trading","629","26.18"
2899,637,"Open African","629","26.18"
4387,958,"Wardrobe Phantom","629","26.18"
1160,256,"Drop Waterfront","629","26.18"
3995,870,"Swarm Gold","628","26.13"
425,93,"Brannigan Sunrise","628","26.13"
3318,730,"Ridgemont Submarine","628","26.13"
3371,739,"Rocky War","628","26.13"
1757,382,"Grit Clockwork","628","26.13"
1652,361,"Gleaming Jawbreaker","627","26.09"
72,15,"Alien Center","627","26.09"
2584,567,"Meet Chocolate","627","26.09"
3302,727,"Resurrection Silverado","627","26.09"
2342,509,"Language Cowboy","627","26.09"
4527,988,"Worker Tarzan","627","26.09"
3042,667,"Peach Innocent","627","26.09"
1827,397,"Hanky October","626","26.05"
2945,646,"Outbreak Divine","626","26.05"
3637,794,"Side Ark","626","26.05"
