"payment_id","customer_id","rental_id","inventory_id","rental_date","return_date","rental_rate","amount_paid","rental_duration","real_duration","delay","film_id","title"
17606,365,3156,2217,"2005-06-20 21:03:46","2005-06-21 23:32:46","0.99","0.99",7,"1","-6",479,"Jedi Beneath"
17607,366,1401,4081,"2005-06-15 16:30:22","2005-06-21 11:07:22","0.99","1.99",5,"6","1",890,"Tights Dawn"
17608,366,2214,2430,"2005-06-18 02:44:37","2005-06-18 23:37:37","0.99","0.99",3,"0","-3",531,"Lose Inch"
17609,367,3078,3642,"2005-06-20 15:09:48","2005-06-24 16:54:48","0.99","0.99",7,"4","-3",795,"Siege Madre"
17610,368,1186,1556,"2005-06-15 00:56:45","2005-06-16 02:23:45","0.99","0.99",5,"1","-4",341,"Frost Head"
17611,368,1513,1173,"2005-06-15 22:53:30","2005-06-23 01:00:30","4.99","9.99",3,"8","5",260,"Dude Blindness"
17612,368,2531,768,"2005-06-19 01:20:49","2005-06-22 01:50:49","4.99","4.99",6,"3","-3",167,"Coma Head"
17613,368,2694,380,"2005-06-19 13:17:21","2005-06-24 15:09:21","4.99","4.99",7,"5","-2",84,"Boiled Dares"
17614,368,2744,4511,"2005-06-19 16:20:40","2005-06-22 11:44:40","4.99","4.99",4,"3","-1",985,"Wonderland Christmas"
17615,368,3275,2320,"2005-06-21 05:33:04","2005-06-30 00:37:04","0.99","4.99",5,"9","4",504,"Kwai Homeward"
17616,369,1224,1572,"2005-06-15 03:44:25","2005-06-17 03:49:25","0.99","0.99",3,"2","-1",345,"Gables Metropolis"
17617,370,1190,2572,"2005-06-15 01:05:32","2005-06-23 02:34:32","4.99","6.99",6,"8","2",563,"Massacre Usual"
17618,371,1212,3611,"2005-06-15 03:03:33","2005-06-17 06:31:33","2.99","2.99",7,"2","-5",789,"Shock Cabin"
17619,371,1218,239,"2005-06-15 03:24:44","2005-06-21 22:45:44","0.99","1.99",5,"6","1",54,"Banger Pinocchio"
17620,371,1573,4536,"2005-06-16 03:31:39","2005-06-25 04:04:39","0.99","6.99",3,"9","6",990,"World Leathernecks"
17621,371,1675,3048,"2005-06-16 11:04:47","2005-06-24 06:56:47","4.99","5.99",7,"8","1",668,"Peak Forever"
17622,371,2837,417,"2005-06-19 22:03:50","2005-06-20 21:24:50","0.99","0.99",5,"1","-4",91,"Bound Cheaper"
17623,371,3176,1982,"2005-06-20 22:31:54","2005-06-25 02:58:54","2.99","3.99",4,"5","1",432,"Hope Tootsie"
17624,371,3396,2744,"2005-06-21 15:23:08","2005-06-23 10:25:08","0.99","0.99",5,"2","-3",602,"Mourning Purple"
17625,372,2315,2766,"2005-06-18 09:03:39","2005-06-22 11:18:39","2.99","2.99",6,"4","-2",608,"Murder Antitrust"
17626,372,2959,4185,"2005-06-20 07:07:54","2005-06-27 03:31:54","4.99","4.99",7,"7","0",911,"Trip Newton"
17627,372,3283,3988,"2005-06-21 06:19:07","2005-06-26 10:59:07","2.99","3.99",4,"5","1",869,"Suspects Quills"
17628,373,1472,4233,"2005-06-15 20:54:55","2005-06-24 21:52:55","0.99","6.99",3,"9","6",920,"Unbreakable Karate"
17629,373,3161,1326,"2005-06-20 21:21:01","2005-06-21 18:22:01","2.99","2.99",6,"1","-5",293,"Exorcist Sting"
17630,374,1548,2094,"2005-06-16 01:43:33","2005-06-23 22:04:33","0.99","1.99",6,"7","1",454,"Impact Aladdin"
17631,374,2046,872,"2005-06-17 14:39:50","2005-06-24 16:02:50","0.99","1.99",6,"7","1",191,"Crooked Frogmen"
17632,374,2487,3683,"2005-06-18 21:32:54","2005-06-23 21:11:54","4.99","4.99",5,"5","0",805,"Sleepless Monsoon"
17633,374,2641,231,"2005-06-19 09:38:33","2005-06-22 09:55:33","2.99","2.99",5,"3","-2",51,"Balloon Homeward"
17634,375,1404,2776,"2005-06-15 16:38:53","2005-06-16 20:37:53","2.99","2.99",7,"1","-6",609,"Muscle Bright"
17635,375,1499,165,"2005-06-15 21:58:07","2005-06-22 19:37:07","2.99","5.99",4,"7","3",35,"Arachnophobia Rollercoaster"
17636,375,2236,4001,"2005-06-18 04:12:33","2005-06-23 04:07:33","4.99","4.99",6,"5","-1",871,"Sweden Shining"
17637,376,1208,750,"2005-06-15 02:30:03","2005-06-18 00:04:03","0.99","0.99",4,"3","-1",164,"Coast Rainbow"
17638,376,2779,1020,"2005-06-19 18:19:07","2005-06-23 18:25:07","0.99","0.99",4,"4","0",228,"Detective Vision"
17639,377,2556,125,"2005-06-19 03:07:32","2005-06-23 23:09:32","2.99","3.99",3,"4","1",25,"Angels Life"
17640,377,3080,118,"2005-06-20 15:22:32","2005-06-24 11:08:32","0.99","1.99",3,"4","1",23,"Anaconda Confessions"
17641,377,3086,4437,"2005-06-20 15:42:40","2005-06-25 19:21:40","0.99","0.99",7,"5","-2",970,"Westward Seabiscuit"
17642,377,3136,3349,"2005-06-20 19:39:08","2005-06-22 23:35:08","2.99","2.99",7,"2","-5",735,"Robbers Joon"
17643,377,3443,1639,"2005-06-21 20:19:00","2005-06-30 15:39:00","0.99","4.99",5,"9","4",358,"Gilmore Boiled"
17644,378,1623,4485,"2005-06-16 07:48:50","2005-06-17 03:53:50","4.99","4.99",4,"1","-3",980,"Wizard Coldblooded"
17645,378,1662,3552,"2005-06-16 10:13:35","2005-06-23 13:54:35","4.99","5.99",6,"7","1",776,"Secret Groundhog"
17646,378,2134,1699,"2005-06-17 21:13:44","2005-06-26 16:28:44","2.99","7.99",4,"9","5",370,"Gorgeous Bingo"
17647,378,2713,3979,"2005-06-19 14:23:09","2005-06-20 17:55:09","4.99","4.99",5,"1","-4",867,"Super Wyoming"
17648,379,1383,1281,"2005-06-15 15:20:06","2005-06-24 18:42:06","4.99","8.99",5,"9","4",284,"Enemy Odds"
17649,379,2313,3134,"2005-06-18 08:56:45","2005-06-26 10:30:45","2.99","5.99",5,"8","3",689,"Pollock Deliverance"
17650,379,2926,1055,"2005-06-20 04:37:45","2005-06-26 02:17:45","2.99","2.99",6,"6","0",235,"Divide Monster"
17651,380,1868,2412,"2005-06-17 02:03:22","2005-06-25 04:38:22","2.99","3.99",7,"8","1",526,"Lock Rear"
17652,380,1984,3417,"2005-06-17 10:25:28","2005-06-23 08:18:28","0.99","2.99",4,"6","2",748,"Rugrats Shakespeare"
17653,380,2018,1278,"2005-06-17 12:35:58","2005-06-26 13:16:58","0.99","3.99",6,"9","3",283,"Ending Crowds"
17654,380,2440,2866,"2005-06-18 18:41:09","2005-06-22 12:46:09","2.99","2.99",5,"4","-1",628,"Northwest Polish"
17655,380,2464,463,"2005-06-18 20:06:05","2005-06-20 19:22:05","4.99","4.99",4,"2","-2",102,"Bubble Grosse"
17656,380,2998,1288,"2005-06-20 09:30:22","2005-06-24 06:31:22","0.99","1.99",3,"4","1",285,"English Bulworth"
17657,380,3099,3756,"2005-06-20 16:44:33","2005-06-27 12:17:33","0.99","1.99",6,"7","1",821,"Sorority Queen"
17658,380,3260,3627,"2005-06-21 03:59:13","2005-06-23 03:29:13","4.99","4.99",3,"2","-1",791,"Show Lord"
17659,381,1402,1951,"2005-06-15 16:31:08","2005-06-24 19:31:08","0.99","3.99",6,"9","3",425,"Holy Tadpole"
17660,381,1878,3319,"2005-06-17 02:55:32","2005-06-21 03:44:32","0.99","1.99",3,"4","1",730,"Ridgemont Submarine"
17661,381,2410,265,"2005-06-18 16:55:08","2005-06-20 12:40:08","2.99","2.99",4,"2","-2",59,"Bear Graceland"
17662,381,2418,2756,"2005-06-18 17:14:42","2005-06-26 16:33:42","0.99","4.99",4,"8","4",604,"Mulan Moon"
17663,381,3425,4548,"2005-06-21 18:07:07","2005-06-27 22:59:07","2.99","2.99",6,"6","0",993,"Wrong Behavior"
17664,382,2389,731,"2005-06-18 15:27:47","2005-06-21 12:26:47","0.99","0.99",4,"3","-1",160,"Club Graffiti"
17665,382,2468,1833,"2005-06-18 20:23:52","2005-06-23 14:34:52","4.99","4.99",5,"5","0",398,"Hanover Galaxy"
17666,382,2489,4012,"2005-06-18 22:00:44","2005-06-22 02:06:44","0.99","1.99",3,"4","1",873,"Sweethearts Suspects"
17667,382,2514,2559,"2005-06-18 23:56:44","2005-06-23 21:10:44","2.99","2.99",6,"5","-1",561,"Mask Peach"
17668,382,3125,3293,"2005-06-20 18:31:58","2005-06-21 15:03:58","4.99","4.99",6,"1","-5",725,"Requiem Tycoon"
17669,383,1831,2610,"2005-06-16 22:22:17","2005-06-25 23:23:17","2.99","7.99",4,"9","5",572,"Metropolis Coma"
17670,383,2228,490,"2005-06-18 03:44:50","2005-06-23 00:28:50","0.99","2.99",3,"5","2",109,"Butterfly Chocolat"
17671,383,2252,1987,"2005-06-18 05:05:18","2005-06-21 08:19:18","2.99","2.99",4,"3","-1",433,"Horn Working"
17672,383,2318,2328,"2005-06-18 09:13:54","2005-06-23 07:19:54","2.99","2.99",6,"5","-1",505,"Labyrinth League"
17673,383,2609,2254,"2005-06-19 07:13:12","2005-06-28 12:30:12","4.99","7.99",6,"9","3",487,"Jingle Sagebrush"
17674,383,3091,854,"2005-06-20 16:02:59","2005-06-22 21:30:59","2.99","2.99",7,"2","-5",188,"Crazy Home"
17675,384,1961,2851,"2005-06-17 09:02:58","2005-06-20 03:07:58","0.99","0.99",3,"3","0",625,"None Spiking"
17676,384,2020,1914,"2005-06-17 12:39:50","2005-06-19 14:59:50","0.99","0.99",6,"2","-4",416,"Highball Potter"
17677,384,2378,2796,"2005-06-18 14:57:49","2005-06-26 18:23:49","4.99","7.99",5,"8","3",614,"Name Detective"
17678,384,2510,3827,"2005-06-18 23:44:21","2005-06-24 00:31:21","4.99","5.99",5,"6","1",838,"Stagecoach Armageddon"
17679,384,2935,2735,"2005-06-20 05:07:24","2005-06-28 09:17:24","0.99","3.99",5,"8","3",600,"Motions Details"
17680,384,3088,3049,"2005-06-20 15:56:05","2005-06-29 13:02:05","4.99","9.99",4,"9","5",670,"Pelican Comforts"
17681,384,3101,1738,"2005-06-20 16:48:58","2005-06-27 18:13:58","2.99","4.99",5,"7","2",378,"Greatest North"
17682,385,1746,4272,"2005-06-16 16:41:19","2005-06-19 11:28:19","2.99","2.99",4,"3","-1",930,"Vacation Boondock"
17683,385,1937,1266,"2005-06-17 07:16:46","2005-06-21 04:22:46","0.99","0.99",6,"4","-2",281,"Encino Elf"
17684,385,3105,130,"2005-06-20 17:11:46","2005-06-21 11:48:46","0.99","0.99",3,"1","-2",26,"Annie Identity"
17685,386,1585,1708,"2005-06-16 04:51:13","2005-06-24 00:23:13","2.99","3.99",7,"8","1",373,"Graduate Lord"
17686,386,1608,2581,"2005-06-16 06:28:57","2005-06-24 05:20:57","0.99","2.99",6,"8","2",566,"Maude Mod"
17687,386,1819,1689,"2005-06-16 21:32:50","2005-06-26 01:11:50","2.99","5.99",7,"10","3",368,"Gone Trouble"
17688,386,2732,610,"2005-06-19 15:19:39","2005-06-25 19:39:39","0.99","0.99",6,"6","0",132,"Chainsaw Uptown"
17689,386,3351,1591,"2005-06-21 11:21:39","2005-06-23 07:23:39","2.99","2.99",4,"2","-2",349,"Gangs Pride"
17690,387,1464,4113,"2005-06-15 20:38:14","2005-06-17 14:52:14","0.99","0.99",6,"2","-4",894,"Tomatoes Hellfighters"
17691,387,1465,609,"2005-06-15 20:43:08","2005-06-18 23:00:08","0.99","0.99",6,"3","-3",132,"Chainsaw Uptown"
17692,387,2068,4252,"2005-06-17 16:11:46","2005-06-20 11:28:46","0.99","0.99",7,"3","-4",924,"Unforgiven Zoolander"
17693,387,2100,2267,"2005-06-17 18:53:21","2005-06-19 21:49:21","0.99","0.99",4,"2","-2",489,"Juggler Hardly"
17694,387,2981,522,"2005-06-20 08:35:17","2005-06-28 09:14:17","2.99","5.99",5,"8","3",115,"Campus Remember"
17695,387,3378,35,"2005-06-21 13:51:28","2005-06-25 09:21:28","4.99","4.99",6,"4","-2",7,"Airplane Sierra"
17696,388,1276,1508,"2005-06-15 08:00:13","2005-06-24 02:55:13","4.99","6.99",7,"9","2",330,"Forrester Comancheros"
17697,388,2145,238,"2005-06-17 22:10:36","2005-06-18 21:07:36","0.99","0.99",5,"1","-4",54,"Banger Pinocchio"
17698,388,2537,3499,"2005-06-19 01:52:21","2005-06-26 02:09:21","4.99","5.99",6,"7","1",767,"Scalawag Duck"
17699,388,2692,3162,"2005-06-19 13:08:19","2005-06-21 16:45:19","4.99","4.99",6,"2","-4",694,"Prejudice Oleander"
17700,388,3159,33,"2005-06-20 21:11:50","2005-06-29 19:35:50","4.99","7.99",6,"9","3",7,"Airplane Sierra"
17701,389,1763,1941,"2005-06-16 17:51:01","2005-06-20 17:27:01","4.99","4.99",7,"4","-3",422,"Hollow Jeopardy"
17702,389,1946,2335,"2005-06-17 07:58:39","2005-06-25 06:49:39","0.99","4.99",4,"8","4",507,"Ladybugs Armageddon"
17703,389,2552,664,"2005-06-19 03:01:29","2005-06-28 04:13:29","0.99","3.99",6,"9","3",143,"Chill Luck"
17704,390,1539,267,"2005-06-16 01:11:25","2005-06-23 03:43:25","2.99","5.99",4,"7","3",59,"Bear Graceland"
17705,390,1730,1372,"2005-06-16 15:30:01","2005-06-19 12:56:01","2.99","2.99",5,"3","-2",302,"Fantasia Park"
17706,390,1893,3346,"2005-06-17 04:18:37","2005-06-23 23:35:37","2.99","2.99",7,"6","-1",735,"Robbers Joon"
17707,390,2330,4285,"2005-06-18 10:41:19","2005-06-25 10:48:19","4.99","7.99",4,"7","3",933,"Vampire Whale"
17708,390,3147,615,"2005-06-20 20:25:17","2005-06-28 20:22:17","4.99","5.99",7,"8","1",133,"Chamber Italian"
17709,391,1232,2743,"2005-06-15 04:18:10","2005-06-17 06:02:10","0.99","0.99",5,"2","-3",602,"Mourning Purple"
17710,391,1931,1411,"2005-06-17 06:51:56","2005-06-22 08:27:56","0.99","0.99",6,"5","-1",309,"Feud Frogmen"
17711,391,2045,561,"2005-06-17 14:38:11","2005-06-26 13:44:11","0.99","2.99",7,"9","2",122,"Carrie Bunch"
17712,391,2690,1381,"2005-06-19 13:00:02","2005-06-27 14:29:02","0.99","2.99",6,"8","2",303,"Fantasy Troopers"
